parlay_rank,league,home_team,away_team,game_date,game_time_est,best_pick,calibrated_probability,expected_value,edge,consensus_agreement,odds_american,market_probability,ml_probability
1,NCAAB,Arizona,Colorado,2026-03-07 00:00:00+00:00,,Under 156.5,0.6107142856476191,0.16590909078181837,0.08690476183809526,⚪ No Kalshi,-110.0,0.5238095238095238,
2,NCAAB,Washington,Oregon,2026-03-07 00:00:00+00:00,,Under 142.5,0.6107142856476191,0.16590909078181837,0.08690476183809526,⚪ No Kalshi,-110.0,0.5238095238095238,
3,NCAAB,Air Force,Nevada,2026-03-07 00:00:00+00:00,,Under 142.5,0.6023809524476191,0.150000000127273,0.0785714286380953,✅ Agrees,-110.0,0.5238095238095238,
4,NCAAB,Sacramento State,Idaho,2026-03-07 00:00:00+00:00,,Under 159.5,0.6023809524476191,0.150000000127273,0.0785714286380953,⚪ No Kalshi,-110.0,0.5238095238095238,
5,NHL,Carolina,Calgary,2026-03-07 00:00:00+00:00,,Under 6.0,0.6023809524476191,0.150000000127273,0.0785714286380953,⚪ No Kalshi,-110.0,0.5238095238095238,
6,NHL,NY Islanders,San Jose,2026-03-07 00:00:00+00:00,,Under 6.5,0.6023809524476191,0.150000000127273,0.0785714286380953,⚪ No Kalshi,-110.0,0.5238095238095238,
7,NHL,Ottawa,Seattle,2026-03-07 00:00:00+00:00,,Under 6.0,0.6023809524476191,0.150000000127273,0.0785714286380953,✅ Agrees,-110.0,0.5238095238095238,
8,NCAAB,Georgia Southern,Coastal Carolina,2026-03-07 00:00:00+00:00,,Under 149.5,0.5940476190476192,0.13409090909090937,0.07023809523809532,⚪ No Kalshi,-110.0,0.5238095238095238,
9,NCAAB,Northwestern,Minnesota,2026-03-07 00:00:00+00:00,,Under 133.5,0.5940476190476192,0.13409090909090937,0.07023809523809532,⚪ No Kalshi,-110.0,0.5238095238095238,
10,NCAAB,UC San Diego,UCSB,2026-03-07 00:00:00+00:00,,Over 139.5,0.5940476190476192,0.13409090909090937,0.07023809523809532,⚪ No Kalshi,-110.0,0.5238095238095238,
11,NCAAB,UCLA,USC,2026-03-07 00:00:00+00:00,,Under 150.5,0.5940476190476192,0.13409090909090937,0.07023809523809532,⚪ No Kalshi,-110.0,0.5238095238095238,
12,NCAAB,Utah Valley,Utah Tech,2026-03-07 00:00:00+00:00,,Over 147.5,0.5940476190476192,0.13409090909090937,0.07023809523809532,⚪ No Kalshi,-110.0,0.5238095238095238,
13,NBA,Golden State,Oklahoma City,2026-03-07 00:00:00+00:00,,Over 219.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,✅ Agrees,-110.0,0.5238095238095238,
14,NCAAB,Auburn,Alabama,2026-03-07 00:00:00+00:00,,Over 176.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,⚪ No Kalshi,-110.0,0.5238095238095238,
15,NCAAB,CA Baptist,Southern Utah,2026-03-07 00:00:00+00:00,,Under 147.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,⚪ No Kalshi,-110.0,0.5238095238095238,
16,NCAAB,Elon University,William & Mary,2026-03-07 00:00:00+00:00,,Under 164.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,⚪ No Kalshi,-110.0,0.5238095238095238,
17,NCAAB,Mount St. Mary's,Siena,2026-03-07 00:00:00+00:00,,Under 131.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,⚪ No Kalshi,-110.0,0.5238095238095238,
18,NCAAB,Oklahoma,Texas,2026-03-07 00:00:00+00:00,,Under 155.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,⚪ No Kalshi,-110.0,0.5238095238095238,
19,NCAAB,Western Carolina,Mercer,2026-03-07 00:00:00+00:00,,Under 154.5,0.5898809524476192,0.12613636376363668,0.06607142863809534,⚪ No Kalshi,-110.0,0.5238095238095238,
20,NBA,Los Angeles Clippers,Memphis,2026-03-07 00:00:00+00:00,,Over 228.5,0.5857142856476192,0.11818181805454575,0.061904761838095346,✅ Agrees,-110.0,0.5238095238095238,
21,NBA,Utah,Milwaukee,2026-03-07 00:00:00+00:00,,Over 234.5,0.5857142856476192,0.11818181805454575,0.061904761838095346,✅ Agrees,-110.0,0.5238095238095238,
22,NCAAB,Fresno St.,Grand Canyon,2026-03-07 00:00:00+00:00,,Over 146.5,0.5857142856476192,0.11818181805454575,0.061904761838095346,⚪ No Kalshi,-110.0,0.5238095238095238,
23,NCAAB,Providence,Georgetown,2026-03-07 00:00:00+00:00,,Over 157.5,0.5857142856476192,0.11818181805454575,0.061904761838095346,⚪ No Kalshi,-110.0,0.5238095238095238,
24,NCAAB,Northern Arizona,Idaho State,2026-03-07 00:00:00+00:00,,Over 141.5,0.5815476190476191,0.11022727272727284,0.057738095238095255,⚪ No Kalshi,-110.0,0.5238095238095238,
25,NHL,Montreal,Los Angeles,2026-03-07 00:00:00+00:00,,Over 6.0,0.5773809524476191,0.10227272740000015,0.053571428638095275,⚪ No Kalshi,-110.0,0.5238095238095238,
26,NHL,Tampa Bay,Toronto,2026-03-07 00:00:00+00:00,,Over 6.5,0.5773809524476191,0.10227272740000015,0.053571428638095275,⚪ No Kalshi,-110.0,0.5238095238095238,
27,NHL,Utah,Columbus,2026-03-07 00:00:00+00:00,,Under 6.0,0.5773809524476191,0.10227272740000015,0.053571428638095275,⚪ No Kalshi,-110.0,0.5238095238095238,
28,NHL,Vancouver,Winnipeg,2026-03-07 00:00:00+00:00,,Under 6.0,0.5773809524476191,0.10227272740000015,0.053571428638095275,⚪ No Kalshi,-110.0,0.5238095238095238,
29,NCAAB,North Carolina,Duke,2026-03-07 00:00:00+00:00,,Over 144.5,0.5732142856476191,0.09431818169090922,0.04940476183809528,⚪ No Kalshi,-110.0,0.5238095238095238,
30,NCAAB,Southern Miss,Appalachian St.,2026-03-07 00:00:00+00:00,,Under 135.5,0.5732142856476191,0.09431818169090922,0.04940476183809528,⚪ No Kalshi,-110.0,0.5238095238095238,
31,NBA,Brooklyn,Detroit,2026-03-07 00:00:00+00:00,,Under 215.5,0.5690476190476191,0.08636363636363653,0.0452380952380953,✅ Agrees,-110.0,0.5238095238095238,
32,NBA,Philadelphia,Atlanta,2026-03-07 00:00:00+00:00,,Over 233.5,0.5690476190476191,0.08636363636363653,0.0452380952380953,✅ Agrees,-110.0,0.5238095238095238,
33,NCAAB,Furman,Samford,2026-03-07 00:00:00+00:00,,Over 146.5,0.5690476190476191,0.08636363636363653,0.0452380952380953,⚪ No Kalshi,-110.0,0.5238095238095238,
34,NCAAB,Hampton,Towson,2026-03-07 00:00:00+00:00,,Under 130.5,0.5690476190476191,0.08636363636363653,0.0452380952380953,⚪ No Kalshi,-110.0,0.5238095238095238,
35,NCAAB,Marist,Quinnipiac,2026-03-07 00:00:00+00:00,,Over 130.5,0.5690476190476191,0.08636363636363653,0.0452380952380953,⚪ No Kalshi,-110.0,0.5238095238095238,
36,NCAAB,Northern Iowa,Bradley,2026-03-07 00:00:00+00:00,,Over 125.5,0.5690476190476191,0.08636363636363653,0.0452380952380953,⚪ No Kalshi,-110.0,0.5238095238095238,
37,NCAAB,Indiana,Ohio St.,2026-03-07 00:00:00+00:00,,Under 149.5,0.5648809524476192,0.07840909103636384,0.04107142863809532,⚪ No Kalshi,-110.0,0.5238095238095238,
38,NHL,Nashville,Buffalo,2026-03-07 00:00:00+00:00,,Under 6.5,0.5648809524476192,0.07840909103636384,0.04107142863809532,⚪ No Kalshi,-110.0,0.5238095238095238,
39,NHL,Philadelphia,Pittsburgh,2026-03-07 00:00:00+00:00,,Over 6.0,0.5648809524476192,0.07840909103636384,0.04107142863809532,⚪ No Kalshi,-110.0,0.5238095238095238,
40,NCAAB,Utah,Baylor,2026-03-07 00:00:00+00:00,,Over 151.5,0.5607142856476192,0.07045454532727302,0.036904761838095324,⚪ No Kalshi,-110.0,0.5238095238095238,
41,NCAAB,Wyoming,San Jose St.,2026-03-07 00:00:00+00:00,,Under 148.5,0.5607142856476192,0.07045454532727302,0.036904761838095324,⚪ No Kalshi,-110.0,0.5238095238095238,
42,NCAAB,Pittsburgh,Syracuse,2026-03-07 00:00:00+00:00,,Over 140.5,0.5565476190476191,0.06250000000000011,0.03273809523809523,⚪ No Kalshi,-110.0,0.5238095238095238,
43,NCAAB,Boise St.,Colorado St.,2026-03-07 00:00:00+00:00,,Over 142.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
44,NCAAB,California,Wake Forest,2026-03-07 00:00:00+00:00,,Under 151.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
45,NCAAB,Florida,Kentucky,2026-03-07 00:00:00+00:00,,Over 157.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
46,NCAAB,Florida Atlantic,Wichita St.,2026-03-07 00:00:00+00:00,,Over 146.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
47,NCAAB,Kennesaw St.,New Mexico St.,2026-03-07 00:00:00+00:00,,Under 154.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
48,NCAAB,New Mexico,Utah St.,2026-03-07 00:00:00+00:00,,Under 157.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
49,NCAAB,Saint Louis,George Mason,2026-03-07 00:00:00+00:00,,Over 145.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
50,NCAAB,Wisconsin,Purdue,2026-03-07 00:00:00+00:00,,Under 157.5,0.5523809524476191,0.05454545467272742,0.028571428638095253,⚪ No Kalshi,-110.0,0.5238095238095238,
51,NBA,Orlando,Minnesota,2026-03-07 00:00:00+00:00,,Over 224.5,0.5440476190476191,0.0386363636363638,0.020238095238095277,✅ Agrees,-110.0,0.5238095238095238,
52,NCAAB,Jacksonville St.,UTEP,2026-03-07 00:00:00+00:00,,Under 139.5,0.5440476190476191,0.0386363636363638,0.020238095238095277,⚪ No Kalshi,-110.0,0.5238095238095238,
53,NCAAB,Middle TN,Missouri St.,2026-03-07 00:00:00+00:00,,Over 144.5,0.5440476190476191,0.0386363636363638,0.020238095238095277,⚪ No Kalshi,-110.0,0.5238095238095238,
54,NHL,NY Rangers,New Jersey,2026-03-07 00:00:00+00:00,,Over 5.5,0.5440476190476191,0.0386363636363638,0.020238095238095277,⚪ No Kalshi,-110.0,0.5238095238095238,
55,NCAAB,Northeastern,Drexel,2026-03-07 00:00:00+00:00,,Under 140.5,0.5398809524476191,0.030681818309091113,0.016071428638095298,⚪ No Kalshi,-110.0,0.5238095238095238,
56,NCAAB,Presbyterian,Winthrop,2026-03-07 00:00:00+00:00,,Over 145.5,0.5398809524476191,0.030681818309091113,0.016071428638095298,⚪ No Kalshi,-110.0,0.5238095238095238,
57,NCAAB,Arizona State,Iowa State,2026-03-07 00:00:00+00:00,,Under 148.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
58,NCAAB,Bryant,Vermont,2026-03-07 00:00:00+00:00,,Under 132.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
59,NCAAB,Cincinnati,Texas Christian,2026-03-07 00:00:00+00:00,,Over 138.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
60,NCAAB,Cornell,Dartmouth,2026-03-07 00:00:00+00:00,,Over 165.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
61,NCAAB,Kansas State,Kansas,2026-03-07 00:00:00+00:00,,Over 151.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
62,NCAAB,Louisville,Miami-Florida,2026-03-07 00:00:00+00:00,,Under 157.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
63,NCAAB,Princeton,Yale,2026-03-07 00:00:00+00:00,,Under 135.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
64,NCAAB,Rhode Island,Fordham,2026-03-07 00:00:00+00:00,,Under 134.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
65,NCAAB,Richmond,Duquesne,2026-03-07 00:00:00+00:00,,Under 149.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
66,NCAAB,SMU,Florida State,2026-03-07 00:00:00+00:00,,Under 161.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
67,NCAAB,Sam Houston St.,Liberty,2026-03-07 00:00:00+00:00,,Under 156.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
68,NCAAB,Vanderbilt,Tennessee,2026-03-07 00:00:00+00:00,,Under 147.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
69,NCAAB,Wagner,LIU,2026-03-07 00:00:00+00:00,,Under 140.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
70,NCAAB,Western Kentucky,FIU,2026-03-07 00:00:00+00:00,,Over 159.5,0.5357142856476191,0.022727272600000237,0.011904761838095301,⚪ No Kalshi,-110.0,0.5238095238095238,
71,NCAAB,La Salle,Saint Joseph's,2026-03-07 00:00:00+00:00,,Over 140.5,0.5273809524476192,0.00681818194545486,0.003571428638095342,⚪ No Kalshi,-110.0,0.5238095238095238,
72,NCAAB,New Hampshire,UMBC,2026-03-07 00:00:00+00:00,,Over 137.5,0.5273809524476192,0.00681818194545486,0.003571428638095342,⚪ No Kalshi,-110.0,0.5238095238095238,
73,NBA,Atlanta,Philadelphia,2026-03-07 00:00:00+00:00,,Atlanta -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
74,NBA,Detroit,Brooklyn,2026-03-07 00:00:00+00:00,,Detroit -16.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
75,NBA,Memphis,Los Angeles Clippers,2026-03-07 00:00:00+00:00,,Memphis +7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
76,NBA,Milwaukee,Utah,2026-03-07 00:00:00+00:00,,Milwaukee -10.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
77,NBA,Minnesota,Orlando,2026-03-07 00:00:00+00:00,,Minnesota -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
78,NBA,Oklahoma City,Golden State,2026-03-07 00:00:00+00:00,,Oklahoma City -14.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,✅ Agrees,-110.0,0.5238095238095238,
79,NCAAB,Alabama,Auburn,2026-03-07 00:00:00+00:00,,Auburn +8.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
80,NCAAB,Appalachian St.,Southern Miss,2026-03-07 00:00:00+00:00,,Southern Miss +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
81,NCAAB,Austin Peay,Queens NC,2026-03-07 00:00:00+00:00,,Queens NC +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
82,NCAAB,Baylor,Utah,2026-03-07 00:00:00+00:00,,Utah +12.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
83,NCAAB,Bradley,Northern Iowa,2026-03-07 00:00:00+00:00,,Northern Iowa +4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
