theover_key,league,date_local,away_code,home_code,theover_pick,theover_market_type,theover_line,theover_model,theover_hit_rate,raw_text,away_team_raw,home_team_raw,pick_validation_status,pick_validation_warning
NBA|GSW|BOS|2026-02-19,NBA,2026-02-19,BOS,GSW,Under,TOTAL,217.5,TheOver,0.916666667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Boston', 'AWAYTEAM': 'Golden State', 'HOMEKALSHI': 'BOS', 'AWAYKALSHI': 'GSW', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 217.5, 'WINPROBABILITY': 0.916666667, 'MARKET': 'Total', 'MATCHUP': 'Boston @ Golden State'}",Boston,Golden State,valid,
NBA|WAS|IND|2026-02-19,NBA,2026-02-19,IND,WAS,Over,TOTAL,234.5,TheOver,0.791666667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Indiana', 'AWAYTEAM': 'Washington', 'HOMEKALSHI': 'IND', 'AWAYKALSHI': 'WAS', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 234.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Indiana @ Washington'}",Indiana Pacers,Washington Wizards,valid,
NBA|CLE|BKN|2026-02-19,NBA,2026-02-19,BKN,CLE,Over,TOTAL,230.5,TheOver,0.791666667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Brooklyn', 'AWAYTEAM': 'Cleveland', 'HOMEKALSHI': 'BKN', 'AWAYKALSHI': 'CLE', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 230.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Brooklyn @ Cleveland'}",Brooklyn Nets,Cleveland Cavaliers,valid,
NBA|CHA|HOU|2026-02-19,NBA,2026-02-19,HOU,CHA,Over,TOTAL,216.5,TheOver,0.791666667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Houston', 'AWAYTEAM': 'Charlotte', 'HOMEKALSHI': 'HOU', 'AWAYKALSHI': 'CHA', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 216.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Houston @ Charlotte'}",Houston Rockets,Charlotte Hornets,valid,
NBA|SAC|ORL|2026-02-19,NBA,2026-02-19,ORL,SAC,Over,TOTAL,225.5,TheOver,0.916666667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Orlando', 'AWAYTEAM': 'Sacramento', 'HOMEKALSHI': 'ORL', 'AWAYKALSHI': 'SAC', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 225.5, 'WINPROBABILITY': 0.916666667, 'MARKET': 'Total', 'MATCHUP': 'Orlando @ Sacramento'}",Orlando Magic,Sacramento Kings,valid,
NBA|CHI|TOR|2026-02-19,NBA,2026-02-19,TOR,CHI,Over,TOTAL,233.5,TheOver,0.833333333,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Toronto', 'AWAYTEAM': 'Chicago', 'HOMEKALSHI': 'TOR', 'AWAYKALSHI': 'CHI', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 233.5, 'WINPROBABILITY': 0.833333333, 'MARKET': 'Total', 'MATCHUP': 'Toronto @ Chicago'}",Toronto,Chicago Bulls,valid,
NBA|SAS|PHX|2026-02-19,NBA,2026-02-19,PHX,SAS,Over,TOTAL,228.5,TheOver,0.854166667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Phoenix', 'AWAYTEAM': 'San Antonio', 'HOMEKALSHI': 'PHX', 'AWAYKALSHI': 'SAS', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 228.5, 'WINPROBABILITY': 0.854166667, 'MARKET': 'Total', 'MATCHUP': 'Phoenix @ San Antonio'}",Phoenix Suns,San Antonio Spurs,valid,
NBA|NYK|DET|2026-02-19,NBA,2026-02-19,DET,NYK,Over,TOTAL,222.5,TheOver,0.8125,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Detroit', 'AWAYTEAM': 'New York', 'HOMEKALSHI': 'DET', 'AWAYKALSHI': 'NYK', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 222.5, 'WINPROBABILITY': 0.8125, 'MARKET': 'Total', 'MATCHUP': 'Detroit @ New York'}",Detroit Pistons,New York Knicks,valid,
NBA|PHI|ATL|2026-02-19,NBA,2026-02-19,ATL,PHI,Under,TOTAL,237.5,TheOver,0.791666667,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Atlanta', 'AWAYTEAM': 'Philadelphia', 'HOMEKALSHI': 'ATL', 'AWAYKALSHI': 'PHI', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 237.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Atlanta @ Philadelphia'}",Atlanta Hawks,Philadelphia 76ers,valid,
NBA|LAC|DEN|2026-02-19,NBA,2026-02-19,DEN,LAC,Over,TOTAL,225.5,TheOver,0.9375,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Denver', 'AWAYTEAM': 'L.A. Clippers', 'HOMEKALSHI': 'DEN', 'AWAYKALSHI': 'LAC', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 225.5, 'WINPROBABILITY': 0.9375, 'MARKET': 'Total', 'MATCHUP': 'Denver @ L.A. Clippers'}",Denver Nuggets,L.A. Clippers,valid,
NCAAB|USF|MEM|2026-02-19,NCAAB,2026-02-19,MEM,USF,Over,TOTAL,155.5,TheOver,0.791666667,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Memphis', 'AWAYTEAM': 'South Florida', 'HOMEKALSHI': 'MEMPHIS', 'AWAYKALSHI': 'SOUTH FLORIDA', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 155.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Memphis @ South Florida'}",Memphis Tigers,South Florida,valid,
NCAAB|UNT|TULN|2026-02-19,NCAAB,2026-02-19,TULN,UNT,Over,TOTAL,132.5,TheOver,0.875,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Tulane', 'AWAYTEAM': 'North Texas', 'HOMEKALSHI': 'TULANE', 'AWAYKALSHI': 'NORTH TEXAS', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 132.5, 'WINPROBABILITY': 0.875, 'MARKET': 'Total', 'MATCHUP': 'Tulane @ North Texas'}",Tulane Green Wave,North Texas,valid,
NCAAB|UCSB|CSUN|2026-02-19,NCAAB,2026-02-19,CSUN,UCSB,Under,TOTAL,160.5,TheOver,0.875,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'CSU Northridge', 'AWAYTEAM': 'UC Santa Barbara', 'HOMEKALSHI': 'CSU NORTHRIDGE', 'AWAYKALSHI': 'UC SANTA BARBARA', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 160.5, 'WINPROBABILITY': 0.875, 'MARKET': 'Total', 'MATCHUP': 'CSU Northridge @ UC Santa Barbara'}",CSU Northridge,UC Santa Barbara,valid,
NCAAB|ULL|ARK|2026-02-19,NCAAB,2026-02-19,ARK,ULL,Under,TOTAL,146.5,TheOver,0.833333333,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Arkansas St.', 'AWAYTEAM': 'UL Lafayette', 'HOMEKALSHI': 'ARKANSAS ST', 'AWAYKALSHI': 'UL LAFAYETTE', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 146.5, 'WINPROBABILITY': 0.833333333, 'MARKET': 'Total', 'MATCHUP': 'Arkansas St. @ UL Lafayette'}",Arkansas St.,UL Lafayette,valid,
NCAAB|UTA|UTT|2026-02-19,NCAAB,2026-02-19,UTT,UTA,Under,TOTAL,141.5,TheOver,0.833333333,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Utah Tech', 'AWAYTEAM': 'Texas-Arlington', 'HOMEKALSHI': 'UTAH TECH', 'AWAYKALSHI': 'TEXAS-ARLINGTON', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 141.5, 'WINPROBABILITY': 0.833333333, 'MARKET': 'Total', 'MATCHUP': 'Utah Tech @ Texas-Arlington'}",Utah Tech,Texas-Arlington,valid,
NCAAB|UNCW|MON|2026-02-19,NCAAB,2026-02-19,MON,UNCW,Under,TOTAL,142.5,TheOver,0.791666667,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Monmouth-NJ', 'AWAYTEAM': 'UNC Wilmington', 'HOMEKALSHI': 'MONMOUTH-NJ', 'AWAYKALSHI': 'UNC WILMINGTON', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 142.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Monmouth-NJ @ UNC Wilmington'}",Monmouth-NJ,UNC Wilmington,valid,
NCAAB|FDU|CHST|2026-02-19,NCAAB,2026-02-19,CHST,FDU,Over,TOTAL,134.5,TheOver,0.791666667,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'FDU', 'AWAYTEAM': 'Chicago St.', 'HOMEKALSHI': 'FDU', 'AWAYKALSHI': 'CHICAGO ST', 'PICK': 'Over', 'PICKCODE': 'OU_OVER', 'LINE': 134.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'FDU @ Chicago St.'}",Chicago St.,FDU,valid,
