league,Home,Away,best_pick,WinProbability,effective_win_probability,effective_edge,consensus_agreement,kalshi_probability,win_prob_source,Kelly_Bet_Size,Win Amount,W/L
MLB,Houston,Pittsburgh,Over 7.5,0.7046,0.6739,0.1729,Agrees,0.645,public_betting_pct,40.0,76.04,WIN
MLB,Milwaukee,San Francisco,Over 7.5,0.7086,0.6773,0.1551,Agrees,0.655,public_betting_pct,40.0,,LOSS
MLB,Tampa Bay,Detroit,Over 8.5,0.6298,0.6103,0.1343,Agrees,0.575,model_hit_rate,40.0,,LOSS
NBA,San Antonio,New York,Over 218.5,0.607,0.5385,0.0837,No Kalshi,,model_hit_rate,11.59,,LOSS
MLB,Philadelphia,San Diego,Over 7.5,0.6022,0.5869,0.0962,Neutral,0.625,default_0.5,8.99,17.47,WIN
MLB,Saint Louis,Texas,Under 7.5,0.5575,0.5575,0.0879,Disagrees,0.355,model_hit_rate_flipped,6.58,13.42,WIN
MLB,Los Angeles Angels,Colorado,Over 8.5,0.6363,0.6159,0.1399,Agrees,0.6,model_hit_rate,11.95,,LOSS
MLB,New York Yankees,Cleveland,Over 7.5,0.5114,0.5097,0.0577,Disagrees,0.595,model_hit_rate_flipped,4.67,10.13,WIN
MLB,Minnesota,Chicago White Sox,Over 8.5,0.6638,0.6392,0.1421,Agrees,0.625,model_hit_rate,12.97,,LOSS
MLB,Seattle,New York Mets,Over 7.5,0.5108,0.5092,0.0595,Disagrees,0.595,model_hit_rate_flipped,3.88,8.26,WIN
MLB,Cincinnati,Kansas City,Over 8.5,0.552,0.5442,0.077,Neutral,0.565,,2.28,,LOSS
MLB,Washington,Miami,Under 8.5,0.5423,0.5423,0.0387,Disagrees,0.435,model_hit_rate_flipped,0.49,0.93,WIN
MLB,Atlanta,Toronto,Under 8.5,0.5432,0.5432,0.0327,Disagrees,0.445,model_hit_rate_flipped,0.3,,LOSS
MLB,Boston,Baltimore,Over 8.5,0.5842,0.5716,0.0625,Disagrees,0.625,model_hit_rate,1.42,2.6,WIN
MLB,Chicago Cubs,Athletics,Over 8.5,0.5431,0.5367,0.0396,Neutral,0.565,default_0.5,0.52,0.98,WIN
