league,Home,Away,best_pick,WinProbability,effective_win_probability,effective_edge,consensus_agreement,kalshi_probability,Kelly_Bet_Size,Win Amount,W/L
MLB,Philadelphia,Chicago White Sox,Over 9.5,0.653,0.653,,Agrees,0.635,40.0,,LOSS
MLB,San Diego,New York Mets,Over 7.5,0.647,0.647,,Agrees,0.625,9.02,,LOSS
MLB,Chicago Cubs,San Francisco,Over 7.5,0.539,0.539,,Disagrees,0.635,2.81,,LOSS
MLB,Miami,Tampa Bay,Over 7.5,0.537,0.537,,Disagrees,0.645,2.14,,LOSS
MLB,Texas,Cleveland,Over 7.5,0.521,0.521,,Disagrees,0.635,1.05,,LOSS
MLB,Saint Louis,Cincinnati,Over 9.5,0.624,0.624,,Agrees,0.575,3.9,8.5,WIN
MLB,Arizona,Washington,Over 9.5,0.619,0.619,,Agrees,0.58,3.44,,LOSS
MLB,Atlanta,Pittsburgh,Over 7.5,0.627,0.627,,Neutral,0.655,2.86,5.39,WIN
MLB,Detroit,Seattle,Over 8.5,0.646,0.646,,Agrees,0.605,3.0,,LOSS
MLB,Los Angeles Dodgers,Los Angeles Angels,Over 8.5,0.6,0.6,,Neutral,0.6,2.21,4.22,WIN
MLB,Toronto,Baltimore,Over 8.5,0.558,0.558,,Neutral,0.565,1.62,3.27,WIN
MLB,Minnesota,Kansas City,Under 8.5,0.56,0.56,,Disagrees,0.425,1.0,1.93,WIN
MLB,Houston,Athletics,Over 9.5,0.533,0.533,,Disagrees,0.585,0.97,1.96,WIN
MLB,Colorado,Milwaukee,Under 10.5,0.528,0.528,,Disagrees,0.435,0.74,1.49,WIN
MLB,New York Yankees,Boston,Over 8.5,0.516,0.516,,Disagrees,0.565,0.05,,LOSS
NHL,Vegas,Carolina,Under 5.5,0.511,0.511,,Disagrees,0.307,1.01,,LOSS
