league,Home,Away,best_pick,WinProbability,effective_win_probability,effective_edge,effective_expected_value,consensus_agreement,kalshi_probability,Kelly_Bet_Size,Win Amount,W/L
MLB,Texas,Washington,Washington +1.5,0.5936048161963188,0.5936048161963188,0.0242741186532517,0.0058303829993179,Agrees,0.585,0.0,,LOSS
MLB,Houston,Los Angeles Angels,Los Angeles Angels +1.5,0.5594840916031717,0.5594840916031717,0.0228534194114552,2.274640881866352e-05,Agrees,0.5549999999999999,0.0,0.0,WIN
WNBA,Las Vegas,Connecticut,Connecticut +14.5,0.5384890091638264,0.5384890091638264,0.0325853695526082,0.0150279553265045,Agrees,0.5571212121212121,0.0,,LOSS
WNBA,Dallas,Indiana,Indiana -2.5,0.5326335244865007,0.5326335244865007,0.0267298848752826,0.003990625801988,Agrees,0.5659090909090909,0.0,,LOSS
MLB,Cleveland,San Francisco,Over 6.5,0.569530933242155,0.5591012932558317,0.0227692853035454,0.0064869034526253,Agrees,0.565,0.0,0.0,WIN
MLB,Chicago White Sox,Atlanta,Chicago White Sox +1.5,0.6105378604186029,0.6105378604186029,0.0034796255659929,-0.023870606396605,Agrees,0.625,0.0,,LOSS
MLB,Kansas City,Athletics,Athletics +1.5,0.6002052582334421,0.6002052582334421,-0.0170917974679938,-0.0548491910576832,Agrees,0.625,0.0,,LOSS
MLB,Cincinnati,Saint Louis,Cincinnati +1.5,0.591107728146659,0.591107728146659,0.0012589714176152,-0.0299770615029185,Agrees,0.605,0.0,0.0,WIN
MLB,Milwaukee,Seattle,Seattle +1.5,0.5887097665981753,0.5887097665981753,-0.0285872891032605,-0.0729512870810343,Agrees,0.635,0.0,,LOSS
MLB,Baltimore,New York Yankees,Baltimore +1.5,0.5867166794297396,0.5867166794297396,0.0018178295716615,-0.0298083666946136,Agrees,0.605,0.0,,LOSS
MLB,Tampa Bay,Toronto,Toronto +1.5,0.5742315458760118,0.5742315458760118,-0.0004124121738943,-0.0351347494464292,Agrees,0.585,0.0,0.0,WIN
NFL,Houston,Las Vegas,Las Vegas +1.5,0.5260865852617197,0.5260865852617197,0.0,-0.042694902228674,Agrees,0.535,0.0,0.0,WIN
NFL,Los Angeles,San Francisco,Los Angeles +1.5,0.5245960182126596,0.5245960182126596,0.0186923786014414,-0.0111597178823319,Neutral,0.515,0.0,,LOSS
WNBA,Los Angeles,Atlanta,Atlanta -8.5,0.5018613414166504,0.5018613414166504,-0.0154533339885395,-0.0728324370438153,Disagrees,0.4604545454545454,0.0,0.0,WIN
