game_date,date,player,participant_type,pick,best_pick,side,market_type,stat,line,matchup,book,RawWinProbability,WinProbability,expected_value,edge,odds_american,stake,actual_value,result,profit,source_stake_status,source_pick_status,directional_market,MarketProbability,CalibratedProbability,ConservativeWinProbability,CalibrationSource,CalibrationSampleSize,CalibrationProfileSampleSize,DirectionalCalibrationSampleSize,expected_count,production_eligible,production_gate_reason,production_projection_cushion,Prop_Tier,Market_Probation,Status_Reason,production_price_allowed,production_min_american_odds
2026-07-22,2026-07-22,A.J. Ewing,batter,A.J. Ewing Over 0.5 Hits,A.J. Ewing Over 0.5 Hits,over,batter_hits_over,hits,0.5,New York Mets @ Milwaukee Brewers,novig,0.6245,0.559,-0.0445,-0.0115,-141.0,0.0,2.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,A.J. Ewing,batter,A.J. Ewing Over 0.5 TB,A.J. Ewing Over 0.5 TB,over,batter_total_bases_over,total_bases,0.5,New York Mets @ Milwaukee Brewers,betmgm,0.6412,0.5666,-0.0792,-0.0085,-160.0,0.0,3.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Alec Bohm,batter,Alec Bohm Under 1.5 TB,Alec Bohm Under 1.5 TB,under,batter_total_bases_under,total_bases,1.5,Los Angeles Dodgers @ Philadelphia Phillies,novig,0.6685,0.5703,-0.057,-0.0006,-153.0,0.0,5.0,LOSS,-0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Alejandro Osuna,batter,Alejandro Osuna Over 0.5 TB,Alejandro Osuna Over 0.5 TB,over,batter_total_bases_over,total_bases,0.5,Chicago White Sox @ Texas Rangers,betmgm,0.5879,0.5045,-0.075,-0.0056,-120.0,0.0,1.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Anthony Kay,pitcher,Anthony Kay Under 4.5 Ks,Anthony Kay Under 4.5 Ks,under,pitcher_strikeouts_under,ks,4.5,Chicago White Sox @ Texas Rangers,draftkings,0.6302,0.5426,-0.0643,-0.0041,-138.0,0.0,4.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Bailey Ober,pitcher,Bailey Ober Under 1.5 BBs,Bailey Ober Under 1.5 BBs,under,pitcher_walks_under,walks,1.5,Minnesota Twins @ Cleveland Guardians,novig,0.5982,0.5159,-0.0355,-0.0059,-115.0,0.0,1.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Bailey Ober,pitcher,Bailey Ober Under 4.5 Ks,Bailey Ober Under 4.5 Ks,under,pitcher_strikeouts_under,ks,4.5,Minnesota Twins @ Cleveland Guardians,draftkings,0.6181,0.559,-0.0779,-0.0137,-154.0,0.0,2.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Ben Rice,batter,Ben Rice Over 1.5 TB,Ben Rice Over 1.5 TB,over,batter_total_bases_over,total_bases,1.5,Pittsburgh Pirates @ New York Yankees,novig,0.5901,0.4992,-0.0298,-0.003,-106.0,0.0,4.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Bo Bichette,batter,Bo Bichette Under 1.5 TB,Bo Bichette Under 1.5 TB,under,batter_total_bases_under,total_bases,1.5,New York Mets @ Milwaukee Brewers,novig,0.6956,0.6009,-0.0689,-0.0018,-182.0,0.0,1.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Brandon Nimmo,batter,Brandon Nimmo Over 0.5 Hits,Brandon Nimmo Over 0.5 Hits,over,batter_hits_over,hits,0.5,Chicago White Sox @ Texas Rangers,novig,0.6808,0.6088,-0.0708,-0.0093,-190.0,0.0,1.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Brooks Lee,batter,Brooks Lee Over 0.5 TB,Brooks Lee Over 0.5 TB,over,batter_total_bases_over,total_bases,0.5,Minnesota Twins @ Cleveland Guardians,betmgm,0.6462,0.5821,-0.0852,-0.012,-175.0,0.0,5.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Caleb Durbin,batter,Caleb Durbin Under 1.5 Hits,Caleb Durbin Under 1.5 Hits,under,batter_hits_under,hits,1.5,Baltimore Orioles @ Boston Red Sox,draftkings,0.7483,0.6765,-0.0739,-0.0094,-271.0,0.0,2.0,LOSS,-0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Carlos Cortes,batter,Carlos Cortes Under 1.5 TB,Carlos Cortes Under 1.5 TB,under,batter_total_bases_under,total_bases,1.5,Athletics @ Arizona Diamondbacks,novig,0.6743,0.5949,-0.0632,-0.0069,-174.0,0.0,0.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Carson Benge,batter,Carson Benge Over 0.5 Hits,Carson Benge Over 0.5 Hits,over,batter_hits_over,hits,0.5,New York Mets @ Milwaukee Brewers,novig,0.6356,0.5566,-0.0648,-0.007,-147.0,0.0,1.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Carson Kelly,batter,Carson Kelly Over 0.5 TB,Carson Kelly Over 0.5 TB,over,batter_total_bases_over,total_bases,0.5,Detroit Tigers @ Chicago Cubs,betmgm,0.6173,0.5542,-0.0883,-0.0123,-155.0,0.0,0.0,LOSS,-0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Chase Meidroth,batter,Chase Meidroth Over 0.5 TB,Chase Meidroth Over 0.5 TB,over,batter_total_bases_over,total_bases,0.5,Chicago White Sox @ Texas Rangers,betmgm,0.7068,0.6267,-0.0748,-0.0067,-210.0,0.0,4.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Christian Scott,pitcher,Christian Scott Under 6.5 Ks,Christian Scott Under 6.5 Ks,under,pitcher_strikeouts_under,ks,6.5,New York Mets @ Milwaukee Brewers,novig,0.6784,0.6156,-0.0884,-0.0124,-208.0,0.0,6.0,WIN,0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,CJ Abrams,batter,CJ Abrams Under 1.5 Hits,CJ Abrams Under 1.5 Hits,under,batter_hits_under,hits,1.5,Washington Nationals @ Colorado Rockies,novig,0.7017,0.6231,-0.0638,-0.0071,-199.0,0.0,4.0,LOSS,-0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
2026-07-22,2026-07-22,Coby Mayo,batter,Coby Mayo Under 1.5 TB,Coby Mayo Under 1.5 TB,under,batter_total_bases_under,total_bases,1.5,Baltimore Orioles @ Boston Red Sox,novig,0.6486,0.5838,-0.0881,-0.0118,-178.0,0.0,2.0,LOSS,-0.0,Qualified / No Stake,Qualified / No Stake,,,,,,,,,,,,,,,,,
