date,matchup,pick,tier,outcome
2026-06-19,Cincinnati @ New York Yankees,Over 8.5,Actionable,LOSS
2026-06-19,Pittsburgh @ Colorado,Pittsburgh -1.5,Below/HV,LOSS
2026-06-19,Cleveland @ Houston,Houston -1.5,Below/HV,WIN
2026-06-19,San Francisco @ Miami,Over 8.5,Below/HV,LOSS
2026-06-19,Baltimore @ Los Angeles Dodgers,Over 9.5,Below/HV,WIN
2026-06-19,Toronto @ Chicago Cubs,Over 7.5,Below/HV,WIN
2026-06-19,Minnesota @ Arizona,Under 8.5,Below/HV,LOSS
2026-06-19,Milwaukee @ Atlanta,Over 7.5,Below/HV,LOSS
2026-06-19,Boston @ Seattle,Under 6.5,Below/HV,LOSS
2026-06-19,San Diego @ Texas,Under 7.5,No Play,LOSS
2026-06-19,Washington @ Tampa Bay,Under 7.5,No Play,WIN
2026-06-19,Saint Louis @ Kansas City,Under 9.5,No Play,LOSS
2026-06-19,Los Angeles Angels @ Athletics,Over 9.5,No Play,WIN
2026-06-19,Chicago White Sox @ Detroit,Under 8.5,No Play,WIN
2026-06-22,Houston @ Toronto,Over 7.5,Below/HV,LOSS
2026-06-22,Cleveland @ Chicago White Sox,Under 7.5,Below/HV,LOSS
2026-06-22,Philadelphia @ Washington,Washington -1.5,No Play,WIN
2026-06-22,Texas @ Miami,Over 8.5,No Play,LOSS
2026-06-22,Kansas City @ Tampa Bay,Under 7.5,No Play,WIN
2026-06-22,Baltimore @ Los Angeles Angels,Over 9.0,No Play,LOSS
2026-06-22,Milwaukee @ Cincinnati,Over 9.5,No Play,LOSS
2026-06-22,Los Angeles Dodgers @ Minnesota,Over 9.5,No Play,LOSS
2026-06-22,Arizona @ Saint Louis,Under 8.5,No Play,WIN
2026-06-22,New York Yankees @ Detroit,Under 8.5,No Play,WIN
2026-06-22,Boston @ Colorado,Under 11.5,No Play,WIN
2026-06-22,Atlanta @ San Diego,Under 7.5,No Play,WIN
2026-06-23,Cleveland @ Chicago White Sox,Over 7.0,Below/HV,LOSS
2026-06-23,Baltimore @ Los Angeles Angels,Over 9.0,Below/HV,LOSS
2026-06-23,Texas @ Miami,Under 8.5,Below/HV,LOSS
2026-06-23,Arizona @ Saint Louis,Under 8.5,Below/HV,WIN
2026-06-23,Philadelphia @ Washington,Over 8.5,Below/HV,WIN
2026-06-23,Kansas City @ Tampa Bay,Over 7.5,Below/HV,WIN
2026-06-23,Seattle @ Pittsburgh,Over 8.5,Below/HV,LOSS
2026-06-23,Boston @ Colorado,Over 10.5,No Play,LOSS
2026-06-23,Atlanta @ San Diego,Under 8.5,No Play,LOSS
2026-06-23,Chicago Cubs @ New York Mets,Over 8.5,No Play,WIN
2026-06-23,Houston @ Toronto,Under 8.5,No Play,LOSS
